topic,year,count
Governance,2015,2
Heritage Diplomacy,2015,2
Heritage Sites,2015,2
Hospitality,2015,2
Hotel,2015,2
In Dark Tourism,2015,2
Industrial Heritage,2015,2
Islam,2015,2
Muslim,2015,2
Of Arabic,2015,2
Of Cultural Tourism,2015,2
Of Heritage,2015,2
Participation,2015,2
Preservation,2015,2
Road,2015,2
Saudi Arabia,2015,2
Silk,2015,2
Silk Road,2015,2
Smart Tourism,2015,2
Tourism And The,2015,2
Tourism Marketing,2015,2
Tourism Policy,2015,2
Tourism/Cultural Exchange (宽泛匹配),2015,2
Tourist Destinations,2015,2
Tourists,2015,2
Travel And Tourism,2015,2
Unesco,2015,2
Unesco World,2015,2
United Arab,2015,2
United Arab Emirates,2015,2
Virtual Reality,2015,2
World Heritage,2015,2
b,2015,2
d,2015,2
e,2015,2
n,2015,2
Agriculture,2016,2
And Sustainable Tourism,2016,2
And Tourism In,2016,2
Belt,2016,2
Big Data In,2016,2
By Destination,2016,2
Chains,2016,2
Circular Economy,2016,2
Conservation,2016,2
Cultural Heritage In,2016,2
Database,2016,2
Destination Competitiveness,2016,2
Digital,2016,2
Dubai,2016,2
Environmental Sustainability,2016,2
Exports By Destination,2016,2
Governance,2016,2
Halal Tourism,2016,2
Heritage And Cultural,2016,2
Heritage In,2016,2
In China,2016,2
In Hospitality,2016,2
Machine Learning,2016,2
Market,2016,2
Middle East,2016,2
Museum,2016,2
Of Arab,2016,2
Of Big Data,2016,2
Pilgrimage To,2016,2
Pilgrimage To Mecca,2016,2
Regulations,2016,2
Roads,2016,2
Silk Roads,2016,2
Supply Chains,2016,2
Sustainability In,2016,2
Sustainability In The,2016,2
The Pilgrimage To,2016,2
Tour,2016,2
Tourism In The,2016,2
Tourism/Cultural Exchange (宽泛匹配),2016,2
Tourist Perception,2016,2
Tourist Satisfaction,2016,2
Tourists In,2016,2
World Heritage And,2016,2
 ,2017,2
"""",2017,2
",",2017,2
Against,2017,2
Agriculture,2017,2
And Destination Loyalty,2017,2
And The Arab,2017,2
Arab Countries,2017,2
Arab-Israeli,2017,2
Arabic Language,2017,2
Architectural Heritage,2017,2
Bahrain,2017,2
Belt One,2017,2
Belt One Road,2017,2
Big Data Analytics,2017,2
Climate,2017,2
Climate Change,2017,2
Conservation In,2017,2
Conservation Of Cultural,2017,2
Destination Brand,2017,2
Destination Branding,2017,2
Destination Image In,2017,2
Destination Loyalty,2017,2
Destination Marketing,2017,2
Environments,2017,2
Ethnography,2017,2
Event Tourism,2017,2
Heritage As,2017,2
Heritage Conservation,2017,2
Heritage Conservation In,2017,2
Hotels,2017,2
In The Digital,2017,2
In Tourism Research,2017,2
Islamic,2017,2
Law,2017,2
Learning In,2017,2
Maritime Silk,2017,2
Market,2017,2
Museums,2017,2
Of Destination Image,2017,2
Of Heritage,2017,2
Of Smart,2017,2
Of Tourism In,2017,2
One Belt One,2017,2
Participation,2017,2
Pilgrimage To Mecca,2017,2
Policy On,2017,2
Post-Conflict Tourism,2017,2
Social Media Data,2017,2
Sustainable Tourism,2017,2
Taiwan,2017,2
Text Mining,2017,2
The Arab Spring,2017,2
The Pilgrimage To,2017,2
The World Heritage,2017,2
To Mecca,2017,2
Tourism And Heritage,2017,2
Tourism And Hospitality,2017,2
Tourism And The,2017,2
Tourism As,2017,2
Tourism Destination,2017,2
Tourism Products,2017,2
Tourism Sustainability,2017,2
Trade,2017,2
Travel And Tourism,2017,2
Umrah,2017,2
Unesco World,2017,2
Unesco World Heritage,2017,2
Urban Tourism,2017,2
Virtual Reality And,2017,2
Visitor,2017,2
World Heritage Sites,2017,2
[,2017,2
],2017,2
中国,2017,2
旅游,2017,2
And Destination Loyalty,2018,2
Arabic,2018,2
Archaeological Site,2018,2
Art,2018,2
Artificial,2018,2
Artificial Intelligence,2018,2
Authenticity In Tourism,2018,2
Big Data,2018,2
Blockchain,2018,2
Built Heritage,2018,2
Carrying Capacity,2018,2
Chain,2018,2
Chinese Outbound Tourism,2018,2
Circular Economy,2018,2
Climate Change,2018,2
Community Participation In,2018,2
Cruise,2018,2
Cultural Heritage And,2018,2
Dataset,2018,2
Destination Brand,2018,2
Domestic Tourism,2018,2
Economy,2018,2
Gulf Cooperation Council,2018,2
Heritage Interpretation,2018,2
Heritage Of,2018,2
Heritage Preservation,2018,2
Heritage Tourism In,2018,2
Heritage Tourism Planning,2018,2
Hotel,2018,2
Hotels,2018,2
In Heritage,2018,2
In Heritage Tourism,2018,2
In Saudi Arabia,2018,2
In The Tourism,2018,2
Islamic,2018,2
Markets,2018,2
Museums,2018,2
Natural Heritage,2018,2
Of Culture,2018,2
Of Digital,2018,2
Of The Art,2018,2
Of Virtual,2018,2
On China,2018,2
On The Tourism,2018,2
Overtourism,2018,2
Part,2018,2
Participation In,2018,2
Participation In Heritage,2018,2
Pilgrimage,2018,2
Preservation,2018,2
Smart City,2018,2
Spain,2018,2
Supply Chain,2018,2
Sustainability In,2018,2
Sustainable Tourism,2018,2
To Sustainable,2018,2
Tour,2018,2
Tourism And Hospitality,2018,2
Tourism And The,2018,2
Tourism Destinations,2018,2
Tourism In China,2018,2
Tourism Planning,2018,2
Tourism Sector,2018,2
Tourist Satisfaction,2018,2
Tourist Satisfaction And,2018,2
Tourists In,2018,2
Trade,2018,2
Training,2018,2
Unesco World,2018,2
Unesco World Heritage,2018,2
University,2018,2
Urban Heritage,2018,2
User Generated Content,2018,2
World Heritage Site,2018,2
Agriculture,2019,2
Algorithmic,2019,2
And Interfaith Dialogue,2019,2
And The Arab,2019,2
Arab Emirates,2019,2
Arab Region,2019,2
Arab Women,2019,2
Arabia,2019,2
Archaeological,2019,2
Augmented Reality,2019,2
Between China And,2019,2
By Destination,2019,2
Cairo,2019,2
Chain,2019,2
Chinese Tourists,2019,2
Climate Change,2019,2
Community Heritage,2019,2
Community Participation,2019,2
Community-Based Tourism,2019,2
Cultural Heritage Sites,2019,2
Cultural Heritage Tourism,2019,2
Cultural Policy,2019,2
Destination Branding,2019,2
Destination Competitiveness,2019,2
Destination Image Through,2019,2
Destination In,2019,2
Destinations,2019,2
Digital Heritage,2019,2
Digital Photogrammetry,2019,2
Digital Transformation,2019,2
English-Arabic,2019,2
Exhibitions,2019,2
Exports By Destination,2019,2
For Cultural Heritage,2019,2
Governance Of,2019,2
Heritage Community,2019,2
Heritage In The,2019,2
Hotels,2019,2
Image And Destination,2019,2
In China,2019,2
In Cultural Heritage,2019,2
In Museum,2019,2
In Travel,2019,2
In World Heritage,2019,2
Indigenous Tourism,2019,2
Learning In,2019,2
Middle East,2019,2
Monuments,2019,2
New Silk Road,2019,2
Of Cultural Heritage,2019,2
Of Hajj,2019,2
Of Heritage,2019,2
Of Muslim,2019,2
Of Smart,2019,2
Of Sustainable,2019,2
Of The Arab,2019,2
On Destination,2019,2
On Tourism,2019,2
Participation In,2019,2
Partnership,2019,2
Post-Conflict Tourism,2019,2
Road Cultural,2019,2
Road To,2019,2
Road Tourism,2019,2
Rural Tourism,2019,2
Saudi Arabia,2019,2
Silk Road And,2019,2
Silk Road Tourism,2019,2
Strategy,2019,2
The Arab Region,2019,2
The Arab World,2019,2
The New Silk,2019,2
Tourism And Hospitality,2019,2
Tourism Village,2019,2
Tourist Destination,2019,2
Training,2019,2
Travelers,2019,2
Travellers,2019,2
Umrah,2019,2
Unesco Global,2019,2
Unesco Global Geopark,2019,2
United Arab,2019,2
United Arab Emirates,2019,2
Using Machine Learning,2019,2
a,2019,2
b,2019,2
d,2019,2
e,2019,2
i,2019,2
m,2019,2
n,2019,2
r,2019,2
s,2019,2
t,2019,2
u,2019,2
一带一路,2019,2
伊斯兰,2019,2
3D Digital,2020,2
Ai In,2020,2
And Dark Tourism,2020,2
And Event Tourism,2020,2
Arab Gulf,2020,2
Arab Media,2020,2
Arab Spring,2020,2
Arabic Language,2020,2
Archaeological,2020,2
Artifacts,2020,2
Arts,2020,2
Chain,2020,2
Chains,2020,2
China And The,2020,2
Community Participation,2020,2
Community Participation In,2020,2
Conservation In,2020,2
Cultural Heritage In,2020,2
Dark Heritage,2020,2
Data Mining,2020,2
Database,2020,2
Deep Learning,2020,2
Destination Image In,2020,2
Difficult Heritage,2020,2
Digital Photogrammetry,2020,2
Digital Technologies,2020,2
Event Tourism,2020,2
Exhibition,2020,2
Governance,2020,2
Heritage And Tourism,2020,2
Heritage Conservation In,2020,2
Heritage Documentation,2020,2
Heritage Interpretation,2020,2
Heritage Sites In,2020,2
Higher Education,2020,2
Hotel,2020,2
Hotels,2020,2
Hotels In,2020,2
In Education,2020,2
In Heritage,2020,2
In Heritage Tourism,2020,2
In The Digital,2020,2
In The Tourism,2020,2
In Tourism In,2020,2
Inclusive Tourism,2020,2
International Tourism,2020,2
Islam,2020,2
Machine Learning And,2020,2
Mass Tourism,2020,2
Music,2020,2
Muslim,2020,2
Of Ai,2020,2
Of Heritage,2020,2
Of Smart,2020,2
Of Sustainable,2020,2
Of The Arab,2020,2
Of The Silk,2020,2
Of Tourism In,2020,2
Of Unesco,2020,2
On Destination,2020,2
On Destination Image,2020,2
On Tourist,2020,2
Overtourism,2020,2
Palace,2020,2
Part,2020,2
Participation,2020,2
Participation In,2020,2
Participatory,2020,2
Pilgrimage In,2020,2
Pilgrimage Tourism,2020,2
Policy In The,2020,2
Preservation,2020,2
Rural Tourism,2020,2
Smart Tourism,2020,2
Strategy,2020,2
Supply Chain,2020,2
Sustainable Tourism In,2020,2
Sustainable Tourism Planning,2020,2
Thailand,2020,2
The Arab Gulf,2020,2
The Tourism Industry,2020,2
Tourism And Hospitality,2020,2
Tourism Carrying,2020,2
Tourism Carrying Capacity,2020,2
Tourism Governance,2020,2
Tourism Industry,2020,2
Tourism Market,2020,2
Tourism Planning,2020,2
Tourism Recovery,2020,2
Tourism Sector,2020,2
Tourism Sites,2020,2
Tourism Supply,2020,2
Tourist Attractions,2020,2
Tourists In,2020,2
Trade,2020,2
Unesco World,2020,2
Unesco World Heritage,2020,2
Visitors,2020,2
World Heritage And,2020,2
World Heritage Sites,2020,2
ئ,2020,2
ط,2020,2
ن,2020,2
文化传播,2020,2
经济,2020,2
Ai In,2021,2
And Big Data,2021,2
And Tourism In,2021,2
Arab Region,2021,2
Arab World,2021,2
Augmented Reality,2021,2
Blockchain Technology,2021,2
Cairo,2021,2
Calligraphy,2021,2
Cruise,2021,2
Cultural Heritage And,2021,2
Cultural Tourism In,2021,2
Culture And Tourism,2021,2
Data-Driven,2021,2
Dataset,2021,2
Destination Brand,2021,2
Destination Branding,2021,2
Destination Choice,2021,2
Economy In,2021,2
English-Arabic,2021,2
Environment,2021,2
Heritage As,2021,2
Heritage In Tourism,2021,2
Heritage Of,2021,2
Historic City,2021,2
Hotel,2021,2
In Agriculture,2021,2
In Cultural Heritage,2021,2
In Heritage,2021,2
In Saudi Arabia,2021,2
In Smart,2021,2
In Smart Tourism,2021,2
In The Arab,2021,2
International Law,2021,2
Knowledge Graphs,2021,2
Learning-Based,2021,2
Machine Learning And,2021,2
Marketing In,2021,2
Markets,2021,2
Mecca,2021,2
Metaverse,2021,2
Museum Diplomacy,2021,2
Music Festival,2021,2
Nft,2021,2
Of Big Data,2021,2
Of Climate,2021,2
Of Climate Change,2021,2
Of Culture,2021,2
Of Destination,2021,2
Of Destination Image,2021,2
Of Museum,2021,2
Of Smart,2021,2
Of Smart Tourism,2021,2
Of The Belt,2021,2
Of Tourist,2021,2
Of Tourist Destination,2021,2
On Cultural Heritage,2021,2
On Destination,2021,2
On Tourist,2021,2
Part,2021,2
Policy In The,2021,2
Revisit Intention,2021,2
Rural Tourism,2021,2
Supply Chain,2021,2
Sustainability In,2021,2
The Arab Region,2021,2
The Arab World,2021,2
The Circular Economy,2021,2
The Silk Road,2021,2
To Tourism,2021,2
Tour,2021,2
Tourism As,2021,2
Tourism Carrying,2021,2
Tourism Carrying Capacity,2021,2
Tourism Demand,2021,2
Tourism In The,2021,2
Tourism Industry,2021,2
Tourism Product,2021,2
Tourist Behavior,2021,2
Trails,2021,2
Travelers,2021,2
Unesco World,2021,2
Unesco World Heritage,2021,2
Unwto,2021,2
Urban Tourism,2021,2
ا,2021,2
ب,2021,2
ة,2021,2
ت,2021,2
ث,2021,2
ج,2021,2
ح,2021,2
خ,2021,2
د,2021,2
ر,2021,2
س,2021,2
ص,2021,2
ط,2021,2
ع,2021,2
ف,2021,2
ق,2021,2
ك,2021,2
ل,2021,2
م,2021,2
ن,2021,2
ه,2021,2
و,2021,2
ي,2021,2
3D Digital,2022,2
Ai-Generated,2022,2
Air,2022,2
And Cultural Heritage,2022,2
And Tourism Industry,2022,2
Arab Gulf,2022,2
Arabic Version,2022,2
Archaeological Heritage,2022,2
Archaeological Site,2022,2
Architectural Heritage,2022,2
Arts,2022,2
Augmented Reality,2022,2
By Destination,2022,2
Chatbot,2022,2
Creative Tourism,2022,2
Cultural Heritage In,2022,2
Cultural Heritage Knowledge,2022,2
Cultural Heritage Sites,2022,2
Culture And Tourism,2022,2
Destination Brand Equity,2022,2
Destination Branding,2022,2
Destination Image And,2022,2
Destination Image On,2022,2
Digital Cultural Heritage,2022,2
Digital Law,2022,2
Digital Technologies,2022,2
Economy In,2022,2
Educational Tourism,2022,2
Environment,2022,2
Governance In,2022,2
Governance Of,2022,2
Great Silk,2022,2
Great Silk Road,2022,2
Heritage As,2022,2
Heritage Conservation,2022,2
Heritage Knowledge,2022,2
Heritage Knowledge Graph,2022,2
Heritage Of,2022,2
In Education,2022,2
In Heritage,2022,2
In Hospitality,2022,2
In Hospitality And,2022,2
In Smart Tourism,2022,2
Influencer Marketing,2022,2
International Tourism,2022,2
Knowledge Graph And,2022,2
Law Policy,2022,2
Learning Methods,2022,2
Marketing Strategies,2022,2
Museum Diplomacy,2022,2
Muslim Religious,2022,2
Of Heritage,2022,2
Of The Belt,2022,2
On Blockchain,2022,2
On Digital,2022,2
On Machine Learning,2022,2
On Tourism And,2022,2
Online Destination,2022,2
Part,2022,2
Participation In Heritage,2022,2
Pilgrimage,2022,2
Red Tourism,2022,2
Religious Tourism,2022,2
Revisit Intention,2022,2
Road Tourism,2022,2
Small Heritage,2022,2
Smart Destination,2022,2
Sports Tourism,2022,2
The Circular Economy,2022,2
The Great Silk,2022,2
The Preservation Of,2022,2
The Tourism Industry,2022,2
The Tourism Sector,2022,2
Tourism And The,2022,2
Tourism Destination Governance,2022,2
Tourism Integration,2022,2
Tourism Market,2022,2
Tourism Marketing,2022,2
Tourism Policy,2022,2
Tourism Village,2022,2
Tourist Destinations,2022,2
Tourist Satisfaction,2022,2
Trade,2022,2
Urban Tourism,2022,2
World Heritage Sites,2022,2
أ,2022,2
ؤ,2022,2
س,2022,2
ش,2022,2
ص,2022,2
ف,2022,2
ق,2022,2
ن,2022,2
教育,2022,2
文化,2022,2
旅游,2022,2
游客,2022,2
Against,2023,2
Agriculture,2023,2
Ai Chatbot,2023,2
Ai In,2023,2
Air,2023,2
Along The Silk,2023,2
And Destination Loyalty,2023,2
Application Of Digital,2023,2
Arab League,2023,2
Arab Spring,2023,2
Arabic-English,2023,2
Big Data,2023,2
Blockchain Technology,2023,2
By Destination,2023,2
Chain,2023,2
Chains,2023,2
China-Arab,2023,2
Chinese Tourists,2023,2
Community Participation,2023,2
Cruise,2023,2
Cultural Heritage Preservation,2023,2
Cultural Heritage Sites,2023,2
Cultural Policy,2023,2
Dataset,2023,2
Digital Museum,2023,2
Digital Tourism,2023,2
Douyin,2023,2
Egyptian Museum,2023,2
Exports By Destination,2023,2
For Sustainable Tourism,2023,2
Governance,2023,2
Heritage As,2023,2
Heritage At,2023,2
Heritage At Risk,2023,2
Heritage Conservation,2023,2
Heritage Interpretation,2023,2
Heritage Interpretation And,2023,2
Heritage Site,2023,2
Hospitality Industry,2023,2
Image And Destination,2023,2
In Agriculture,2023,2
In Digital,2023,2
In Heritage,2023,2
In Saudi Arabia,2023,2
In Thailand,2023,2
Journey,2023,2
Maritime Silk Road,2023,2
Marketing In,2023,2
Marketing Strategy,2023,2
Markets,2023,2
Medical Tourism,2023,2
North Africa,2023,2
Of Artificial Intelligence,2023,2
Of Blockchain,2023,2
Of Museum,2023,2
Of Smart Tourism,2023,2
Of Sustainable,2023,2
Of Tourist Destination,2023,2
Of Virtual Reality,2023,2
Palace,2023,2
Participation,2023,2
Pilgrimage To,2023,2
Pilgrimage To Mecca,2023,2
Pilgrims,2023,2
Policy In,2023,2
Post-Conflict Tourism,2023,2
Qualitative Research,2023,2
Regulation,2023,2
School,2023,2
Short Video Marketing,2023,2
Smart Tourism Destination,2023,2
Spain,2023,2
Sports Tourism,2023,2
Strategy Of,2023,2
The Maritime Silk,2023,2
The Preservation Of,2023,2
Tourism Destinations,2023,2
Tourism Industry In,2023,2
Tourism Market,2023,2
Tourism Products,2023,2
Tourism Resources,2023,2
Tourist Destination Image,2023,2
Travel Intentions,2023,2
Tripadvisor,2023,2
Unesco World Heritage,2023,2
Using Machine Learning,2023,2
World Heritage And,2023,2
数字,2023,2
经济,2023,2
3D Digital,2024,2
Abroad,2024,2
Ai-Powered,2024,2
And Augmented Reality,2024,2
And Dark Tourism,2024,2
And Generative Ai,2024,2
And Smart Tourism,2024,2
And The Arab,2024,2
And Tourism Integration,2024,2
Application Of Digital,2024,2
Arab Region,2024,2
Arabic Version,2024,2
Archaeology,2024,2
Architectural Heritage,2024,2
As Tourism,2024,2
Between China And,2024,2
Carrying Capacity,2024,2
Chain,2024,2
China-Arab,2024,2
Climate,2024,2
Cultural Heritage And,2024,2
Cultural Heritage Based,2024,2
Cultural Heritage Of,2024,2
Cultural Innovation,2024,2
Culture And Tourism,2024,2
Data-Driven,2024,2
Deep Learning,2024,2
Destination Image Formation,2024,2
Detailed,2024,2
Digital Economy,2024,2
Digital Heritage,2024,2
Digital Reconstruction,2024,2
Digital Reconstruction Of,2024,2
Digital Service,2024,2
Digital Technologies,2024,2
Environment,2024,2
Environmental Sustainability,2024,2
For Sustainable Tourism,2024,2
Generative Artificial,2024,2
Generative Artificial Intelligence,2024,2
Governance In,2024,2
Great Silk,2024,2
Great Silk Road,2024,2
Heritage Conservation,2024,2
Heritage Sites In,2024,2
Hotels,2024,2
In Arabic,2024,2
In Smart,2024,2
In Smart Tourism,2024,2
In Sustainable,2024,2
Information Extraction,2024,2
Learning In,2024,2
Literary Tourism,2024,2
Local Tourism,2024,2
Machine Learning,2024,2
Marketing In,2024,2
Nft,2024,2
Of Ai And,2024,2
Of Arab,2024,2
Of Destination Image,2024,2
Of Metaverse,2024,2
Of Museum,2024,2
Of Rural Tourism,2024,2
Of Sustainable,2024,2
Of Umrah,2024,2
Of Unesco,2024,2
Of Unesco World,2024,2
On Destination Image,2024,2
Online Travel,2024,2
Overtourism,2024,2
Palace,2024,2
Participation,2024,2
Partnership,2024,2
Pilgrimage In,2024,2
Preservation,2024,2
Public Policy,2024,2
Recommender,2024,2
Religious Tourism,2024,2
Revisit Intention,2024,2
Short Video Marketing,2024,2
Silk Road And,2024,2
Smart Tourism Destination,2024,2
Sport Tourism,2024,2
Strategy Of,2024,2
Sustainable Destination,2024,2
Sustainable Heritage,2024,2
The Arab Region,2024,2
The Circular Economy,2024,2
The Great Silk,2024,2
The Silk Road,2024,2
To Destination,2024,2
Tourism As,2024,2
Tourism Awareness,2024,2
Tourism Demand Forecasting,2024,2
Tourism Destination Brand,2024,2
Tourism In Saudi,2024,2
Tourism Market,2024,2
Tourism On,2024,2
Tourism Products,2024,2
Tourism Promotion,2024,2
Tourism Sites,2024,2
Tourism Sustainability,2024,2
Tourist Destinations,2024,2
Tourist Perception,2024,2
Tourists In,2024,2
Training,2024,2
Video Marketing,2024,2
Visitor,2024,2
World Tourism,2024,2
文化交流,2024,2
游客,2024,2
社交媒体,2024,2
经济,2024,2
Air,2025,2
Algorithmic,2025,2
And Augmented Reality,2025,2
And Cultural Heritage,2025,2
And Cultural Tourism,2025,2
And Generative Ai,2025,2
And Tourism Integration,2025,2
And Virtual Reality,2025,2
Arab Region,2025,2
Arabic Language,2025,2
Blockchain Technology,2025,2
Cairo,2025,2
Carrying Capacity,2025,2
Chain,2025,2
Climate Change,2025,2
Community Participation,2025,2
Conservation Of,2025,2
Cultural And Tourism,2025,2
Cultural Heritage Based,2025,2
Cultural Heritage Conservation,2025,2
Cultural Heritage With,2025,2
Destination Brand Equity,2025,2
Destination Choice,2025,2
Destination Governance,2025,2
Destination Image Through,2025,2
Destination Marketing,2025,2
Destination Planning,2025,2
Digital Age,2025,2
Digital Reconstruction,2025,2
Digital Reconstruction Of,2025,2
Digital Tourism Strategy,2025,2
Ecotourism,2025,2
Education In,2025,2
Environment,2025,2
Foreign Policy,2025,2
Gulf Cooperation Council,2025,2
Heritage Based On,2025,2
Heritage Destination,2025,2
Heritage In The,2025,2
Heritage Of The,2025,2
Heritage Preservation,2025,2
Heritage Tourism In,2025,2
In Destination,2025,2
In Higher Education,2025,2
In Hospitality,2025,2
In Museum,2025,2
In Rural Tourism,2025,2
In Sustainable,2025,2
In The Metaverse,2025,2
In Tourism And,2025,2
In Tourism Destination,2025,2
In Tourist,2025,2
Learning In,2025,2
Machine Learning Models,2025,2
Machine Learning-Based,2025,2
Marketing Strategy,2025,2
Media Marketing,2025,2
Mountain,2025,2
Natural Heritage,2025,2
Nft,2025,2
Of Ai And,2025,2
Of Ai-Generated Content,2025,2
Of Arabic,2025,2
Of Artificial,2025,2
Of Artificial Intelligence,2025,2
Of Belt,2025,2
Of Belt And,2025,2
Of China,2025,2
Of Culture,2025,2
Of Destination Brand,2025,2
Of Machine Learning,2025,2
Of The Belt,2025,2
Of The Tourism,2025,2
Of Tourism And,2025,2
Of Tourists,2025,2
Of Travel,2025,2
On Cultural Heritage,2025,2
On Destination,2025,2
On Tourism And,2025,2
Pilgrimage To,2025,2
Pilgrims,2025,2
Recommender System,2025,2
Red Tourism,2025,2
Revisit Intention,2025,2
School,2025,2
Social Media Tourism,2025,2
Strategy Of,2025,2
Supply Chains,2025,2
Temple,2025,2
Thailand,2025,2
The Arab Region,2025,2
The Cultural Heritage,2025,2
The Digital Age,2025,2
To Mecca,2025,2
To Sustainable,2025,2
Tour,2025,2
Tourism Destination Governance,2025,2
Tourism Destinations,2025,2
Tourism Education,2025,2
Tourism In The,2025,2
Tourism Industry In,2025,2
Tourism Integration,2025,2
Tourism Marketing,2025,2
Tourism On,2025,2
Tourism Planning,2025,2
Tourism Strategy,2025,2
Tourist Behavior,2025,2
Tourist Satisfaction,2025,2
Tourists In,2025,2
Trade,2025,2
Travel Planning,2025,2
Under The Belt,2025,2
Visitor,2025,2
Visitors,2025,2
产业融合,2025,2
体育旅游,2025,2
博物馆,2025,2
可持续发展,2025,2
地方文化,2025,2
城市旅游,2025,2
学习,2025,2
文化数字化,2025,2
旅行,2025,2
游客满意度,2025,2
艺术,2025,2
贸易,2025,2
Ai-Enabled,2026,2
Algorithmic,2026,2
And Augmented Reality,2026,2
And The Arab,2026,2
And Tourism Integration,2026,2
Arab Countries,2026,2
Arab Emirates,2026,2
Archaeological,2026,2
Art,2026,2
Augmented Reality,2026,2
Community-Based Tourism,2026,2
Culinary Tourism,2026,2
Destination Country,2026,2
Destination Image Formation,2026,2
Destination Image On,2026,2
Digital Marketing,2026,2
Digital Twin For,2026,2
Economy In,2026,2
Education In,2026,2
Educational Tourism,2026,2
Exhibitions,2026,2
Guides,2026,2
Health Tourism,2026,2
Heritage Tourism And,2026,2
Heritage Tourism In,2026,2
Hotels In,2026,2
In Ai,2026,2
In Heritage,2026,2
In Heritage Tourism,2026,2
In Sustainable,2026,2
In The Digital,2026,2
Learning Models,2026,2
Machine Learning Models,2026,2
Medical Tourism,2026,2
Monuments,2026,2
North Africa,2026,2
Of Artificial,2026,2
Of Artificial Intelligence,2026,2
Of Culture,2026,2
Of Heritage,2026,2
Of Tourists,2026,2
Of Virtual,2026,2
On Destination,2026,2
On Digital,2026,2
Overtourism,2026,2
Participation,2026,2
Pilgrim,2026,2
Policy In,2026,2
Silk Road And,2026,2
Silk Roads,2026,2
Spain,2026,2
Sustainability In,2026,2
Sustainable Cultural,2026,2
Sustainable Tourism Policy,2026,2
Temple,2026,2
The Silk Road,2026,2
To Sustainable,2026,2
Tourism Education,2026,2
Tourism Governance,2026,2
Tourism Integration,2026,2
Tourism Market,2026,2
Tourism Product,2026,2
Tourism Sustainability,2026,2
Tourist Destination,2026,2
Travel Intention,2026,2
Umrah,2026,2
Unesco,2026,2
United Arab,2026,2
United Arab Emirates,2026,2
University,2026,2
Wine Tourism,2026,2
产业数字化,2026,2
国际市场,2026,2
大数据,2026,2
市场,2026,2
抖音,2026,2
数字文化,2026,2
文化旅游,2026,2
法规,2026,2
贸易,2026,2
Preservation,1859,1
Preservation Of,1859,1
The Preservation Of,1859,1
Journey,1937,1
Mecca,1937,1
Muslim,1937,1
Pilgrimage,1937,1
To Mecca,1937,1
Tourism/Cultural Exchange (宽泛匹配),1960,1
Agriculture,1961,1
Tourism/Cultural Exchange (宽泛匹配),1966,1
China,1967,1
Arab Culture,1969,1
Culture,1969,1
And Cultural Heritage,1970,1
Cultural Heritage,1970,1
Digital,1970,1
Digital Cultural,1970,1
Digital Cultural Heritage,1970,1
Digital Heritage,1970,1
Heritage,1970,1
New Heritage,1970,1
Tourist,1971,1
Of Tourist,1973,1
Tourist,1973,1
中国,1974,1
文化,1974,1
文化交流,1974,1
Arab,1975,1
China,1975,1
Earthquake,1975,1
In China,1975,1
Of Arab,1976,1
Of Tourism,1976,1
Tourism On,1976,1
Arab,1977,1
Destination,1977,1
Education,1977,1
In Tourism,1977,1
In Tourism In,1977,1
International Law,1977,1
Law,1977,1
Of Arab,1977,1
Tourism,1977,1
Tourism Education,1977,1
Tourism In,1977,1
Training,1977,1
Carrying Capacity,1978,1
文化,1978,1
Art,1979,1
In Tourism,1979,1
Marketing,1979,1
Of Tourism,1979,1
Of Tourism In,1979,1
Tourism In,1979,1
Tourism Marketing,1979,1
Tourism/Cultural Exchange (宽泛匹配),1979,1
Environmental,1980,1
Arab,1982,1
Arab Women,1982,1
Preservation,1982,1
Carrying Capacity,1983,1
Cultures,1983,1
Destinations,1983,1
Education,1983,1
Educational,1983,1
English-Arabic,1983,1
Learning,1983,1
Of Tourist,1983,1
Tourist,1983,1
Arab,1984,1
Middle East,1984,1
Muslim,1984,1
Marketing,1985,1
Muslim,1985,1
Muslim Religious,1985,1
Tourism Marketing,1985,1
Carrying Capacity,1986,1
Tourism Carrying,1986,1
Tourism Carrying Capacity,1986,1
Travel,1986,1
Travel And Tourism,1986,1
Market,1987,1
Regulations,1987,1
Tourism In,1987,1
Tourism Monitor,1987,1
Arabic,1988,1
In Tourism,1988,1
Market,1988,1
Tourism In,1988,1
Arab,1989,1
Arab World,1989,1
Culture,1989,1
Culture Of,1989,1
Educational,1989,1
Heritage,1989,1
Heritage Tourism,1989,1
In The Arab,1989,1
Learning,1989,1
Qualitative Research,1989,1
The Arab World,1989,1
Tourism,1989,1
Tourist,1989,1
Mecca,1990,1
Middle East,1990,1
Part,1990,1
Participation,1990,1
Participation In,1990,1
Pilgrimage,1990,1
Pilgrimage To,1990,1
Pilgrimage To Mecca,1990,1
The Pilgrimage To,1990,1
To Mecca,1990,1
Tourism,1990,1
Tourism Planning,1990,1
University,1990,1
Carrying Capacity,1991,1
Economy,1991,1
Economy Of,1991,1
Environments,1991,1
Hospitality,1991,1
In Tourist,1991,1
Law,1991,1
Learning,1991,1
Market,1991,1
Of The Arab,1991,1
Arabia,1992,1
In Saudi Arabia,1992,1
International Tourism,1992,1
Saudi Arabia,1992,1
Tourism In,1992,1
Tourism In Saudi,1992,1
Art,1993,1
Culture,1993,1
Domestic Tourism,1993,1
Heritage,1993,1
Heritage Authenticity,1993,1
Heritage Authenticity And,1993,1
